Model,RMSE_Log,RMSE_Dollars,MAE_Dollars,R2,Accuracy_Within_10pct,Accuracy_Within_20pct,Binned_Price_Accuracy
StackingEnsemble,0.13188525878391755,26769.92513314091,15494.681807048153,0.9067915474002087,0.7157534246575342,0.8938356164383562,0.8595890410958904
LinearRegression,0.13259535164005126,22961.93533637764,15213.921421362164,0.9057851447576423,0.6952054794520548,0.8972602739726028,0.8424657534246576
VotingEnsemble,0.13928043618819846,28085.46718009525,16254.205072516384,0.8960455648863377,0.6952054794520548,0.8767123287671232,0.8527397260273972
GradientBoosting,0.139529162238336,30161.523180621163,16452.039359824175,0.8956739511315347,0.6986301369863014,0.910958904109589,0.8732876712328768
RandomForest,0.1478313351150558,30841.075084771022,17473.46106210037,0.8828895135964974,0.6643835616438356,0.8595890410958904,0.8561643835616438
DecisionTree,0.19413573244715532,40309.163546845855,24422.570575142883,0.7980361022801592,0.5136986301369864,0.791095890410959,0.7671232876712328
KMeans,,,,,,,0.6541095890410958
